# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
30.91           	p               	-7.94022056e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459668e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
30.91           	U               	(-1.18957484e-01 -4.84413775e-01 -9.34061573e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165202e-02 1.83863714e-01 8.24418239e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
30.92           	p               	-7.94022056e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459668e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
30.92           	U               	(-1.18957483e-01 -4.84413775e-01 -9.34061573e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165203e-02 1.83863714e-01 8.24418239e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
30.93           	p               	-7.94022053e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459669e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
30.93           	U               	(-1.18957483e-01 -4.84413775e-01 -9.34061096e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165202e-02 1.83863714e-01 8.24418236e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
30.94           	p               	-7.94022053e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459669e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
30.94           	U               	(-1.18957483e-01 -4.84413775e-01 -9.34061096e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165202e-02 1.83863713e-01 8.24418236e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
30.95           	p               	-7.94022056e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459669e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
30.95           	U               	(-1.18957483e-01 -4.84413775e-01 -9.34060992e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165201e-02 1.83863713e-01 8.24418244e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
30.96           	p               	-7.94022056e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459669e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
30.96           	U               	(-1.18957483e-01 -4.84413775e-01 -9.34060992e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165199e-02 1.83863713e-01 8.24418244e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
30.97           	p               	-7.94022059e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459669e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
30.97           	U               	(-1.18957483e-01 -4.84413775e-01 -9.34061020e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165197e-02 1.83863713e-01 8.24418259e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
30.98           	p               	-7.94022062e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459669e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
30.98           	U               	(-1.18957483e-01 -4.84413775e-01 -9.34061065e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165197e-02 1.83863713e-01 8.24418270e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
30.99           	p               	-7.94022062e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459669e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
30.99           	U               	(-1.18957483e-01 -4.84413774e-01 -9.34061065e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165197e-02 1.83863713e-01 8.24418270e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31              	p               	-7.94022062e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459669e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31              	U               	(-1.18957483e-01 -4.84413774e-01 -9.34061065e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165196e-02 1.83863713e-01 8.24418270e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.01           	p               	-7.94022062e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459669e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.01           	U               	(-1.18957483e-01 -4.84413774e-01 -9.34061065e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165196e-02 1.83863713e-01 8.24418270e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.02           	p               	-7.94022062e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459669e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.02           	U               	(-1.18957483e-01 -4.84413774e-01 -9.34061065e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165196e-02 1.83863713e-01 8.24418270e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.03           	p               	-7.94022062e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459669e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.03           	U               	(-1.18957482e-01 -4.84413774e-01 -9.34061065e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165196e-02 1.83863713e-01 8.24418270e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.04           	p               	-7.94022062e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459668e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.04           	U               	(-1.18957482e-01 -4.84413775e-01 -9.34061119e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165195e-02 1.83863713e-01 8.24418271e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.05           	p               	-7.94022062e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459668e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.05           	U               	(-1.18957482e-01 -4.84413775e-01 -9.34061119e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165195e-02 1.83863713e-01 8.24418271e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.06           	p               	-7.94022062e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459667e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.06           	U               	(-1.18957482e-01 -4.84413775e-01 -9.34061106e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165196e-02 1.83863713e-01 8.24418269e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.07           	p               	-7.94022062e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459667e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.07           	U               	(-1.18957482e-01 -4.84413776e-01 -9.34061083e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165196e-02 1.83863713e-01 8.24418271e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.08           	p               	-7.94022062e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459667e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.08           	U               	(-1.18957482e-01 -4.84413776e-01 -9.34061083e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165197e-02 1.83863713e-01 8.24418271e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.09           	p               	-7.94022062e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459667e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.09           	U               	(-1.18957482e-01 -4.84413776e-01 -9.34061083e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165198e-02 1.83863713e-01 8.24418271e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.1            	p               	-7.94022062e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459667e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.1            	U               	(-1.18957482e-01 -4.84413777e-01 -9.34061083e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165198e-02 1.83863713e-01 8.24418271e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.11           	p               	-7.94022062e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459667e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.11           	U               	(-1.18957482e-01 -4.84413777e-01 -9.34061083e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165199e-02 1.83863713e-01 8.24418271e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.12           	p               	-7.94022062e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459667e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.12           	U               	(-1.18957482e-01 -4.84413777e-01 -9.34061083e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165200e-02 1.83863713e-01 8.24418271e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.13           	p               	-7.94022062e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459667e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.13           	U               	(-1.18957482e-01 -4.84413778e-01 -9.34061083e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165200e-02 1.83863713e-01 8.24418271e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.14           	p               	-7.94022065e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459668e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.14           	U               	(-1.18957482e-01 -4.84413778e-01 -9.34060786e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165201e-02 1.83863713e-01 8.24418287e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.15           	p               	-7.94022065e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459668e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.15           	U               	(-1.18957482e-01 -4.84413777e-01 -9.34060786e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165201e-02 1.83863713e-01 8.24418287e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.16           	p               	-7.94022069e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459668e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.16           	U               	(-1.18957482e-01 -4.84413777e-01 -9.34060517e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165200e-02 1.83863713e-01 8.24418304e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.17           	p               	-7.94022071e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459668e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.17           	U               	(-1.18957482e-01 -4.84413777e-01 -9.34060408e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165199e-02 1.83863713e-01 8.24418314e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.18           	p               	-7.94022071e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459668e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.18           	U               	(-1.18957482e-01 -4.84413777e-01 -9.34060408e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165197e-02 1.83863713e-01 8.24418314e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.19           	p               	-7.94022071e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459668e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.19           	U               	(-1.18957482e-01 -4.84413776e-01 -9.34060408e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165196e-02 1.83863713e-01 8.24418314e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.2            	p               	-7.94022071e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459668e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.2            	U               	(-1.18957482e-01 -4.84413776e-01 -9.34060408e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165195e-02 1.83863713e-01 8.24418314e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.21           	p               	-7.94022071e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459668e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.21           	U               	(-1.18957483e-01 -4.84413776e-01 -9.34060408e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165194e-02 1.83863713e-01 8.24418314e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.22           	p               	-7.94022071e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459667e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.22           	U               	(-1.18957482e-01 -4.84413777e-01 -9.34060787e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165193e-02 1.83863713e-01 8.24418309e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.23           	p               	-7.94022070e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459666e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.23           	U               	(-1.18957482e-01 -4.84413777e-01 -9.34060939e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165193e-02 1.83863713e-01 8.24418304e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.24           	p               	-7.94022070e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459666e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.24           	U               	(-1.18957481e-01 -4.84413777e-01 -9.34060939e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165193e-02 1.83863713e-01 8.24418304e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.25           	p               	-7.94022070e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459666e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.25           	U               	(-1.18957481e-01 -4.84413778e-01 -9.34060939e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165193e-02 1.83863713e-01 8.24418304e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.26           	p               	-7.94022070e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459666e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.26           	U               	(-1.18957480e-01 -4.84413778e-01 -9.34060939e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165193e-02 1.83863713e-01 8.24418304e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.27           	p               	-7.94022070e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459667e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.27           	U               	(-1.18957480e-01 -4.84413778e-01 -9.34060632e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165193e-02 1.83863713e-01 8.24418306e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.28           	p               	-7.94022070e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459667e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.28           	U               	(-1.18957480e-01 -4.84413778e-01 -9.34060426e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165194e-02 1.83863713e-01 8.24418311e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.29           	p               	-7.94022070e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459667e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.29           	U               	(-1.18957481e-01 -4.84413779e-01 -9.34060426e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165195e-02 1.83863713e-01 8.24418311e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.3            	p               	-7.94022070e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459667e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.3            	U               	(-1.18957481e-01 -4.84413779e-01 -9.34060427e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165197e-02 1.83863713e-01 8.24418311e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.31           	p               	-7.94022070e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459667e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.31           	U               	(-1.18957482e-01 -4.84413779e-01 -9.34060427e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165198e-02 1.83863712e-01 8.24418311e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.32           	p               	-7.94022075e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459667e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.32           	U               	(-1.18957482e-01 -4.84413779e-01 -9.34060413e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165199e-02 1.83863713e-01 8.24418335e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.33           	p               	-7.94022075e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459667e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.33           	U               	(-1.18957482e-01 -4.84413779e-01 -9.34060413e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165199e-02 1.83863713e-01 8.24418335e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.34           	p               	-7.94022079e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459667e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.34           	U               	(-1.18957482e-01 -4.84413779e-01 -9.34060336e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165199e-02 1.83863713e-01 8.24418349e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.35           	p               	-7.94022079e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459667e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.35           	U               	(-1.18957482e-01 -4.84413779e-01 -9.34060336e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165199e-02 1.83863713e-01 8.24418349e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.36           	p               	-7.94022081e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459667e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.36           	U               	(-1.18957481e-01 -4.84413779e-01 -9.34060235e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165198e-02 1.83863713e-01 8.24418356e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.37           	p               	-7.94022082e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459666e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.37           	U               	(-1.18957481e-01 -4.84413779e-01 -9.34060135e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165197e-02 1.83863713e-01 8.24418359e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.38           	p               	-7.94022082e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459666e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.38           	U               	(-1.18957481e-01 -4.84413779e-01 -9.34060135e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165196e-02 1.83863713e-01 8.24418359e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.39           	p               	-7.94022082e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459666e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.39           	U               	(-1.18957480e-01 -4.84413779e-01 -9.34060135e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165195e-02 1.83863713e-01 8.24418359e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.4            	p               	-7.94022082e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459666e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.4            	U               	(-1.18957480e-01 -4.84413779e-01 -9.34060135e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165194e-02 1.83863713e-01 8.24418359e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.41           	p               	-7.94022082e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459666e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.41           	U               	(-1.18957480e-01 -4.84413779e-01 -9.34060135e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165193e-02 1.83863713e-01 8.24418359e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.42           	p               	-7.94022082e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459666e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.42           	U               	(-1.18957479e-01 -4.84413779e-01 -9.34060135e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165193e-02 1.83863713e-01 8.24418359e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.43           	p               	-7.94022082e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459666e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.43           	U               	(-1.18957479e-01 -4.84413779e-01 -9.34060135e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165192e-02 1.83863713e-01 8.24418359e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.44           	p               	-7.94022080e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459666e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.44           	U               	(-1.18957479e-01 -4.84413779e-01 -9.34060152e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165190e-02 1.83863713e-01 8.24418350e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.45           	p               	-7.94022080e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459666e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.45           	U               	(-1.18957479e-01 -4.84413780e-01 -9.34060152e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165188e-02 1.83863713e-01 8.24418350e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.46           	p               	-7.94022079e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459666e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.46           	U               	(-1.18957480e-01 -4.84413780e-01 -9.34060251e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165189e-02 1.83863713e-01 8.24418347e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.47           	p               	-7.94022079e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459666e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.47           	U               	(-1.18957480e-01 -4.84413780e-01 -9.34060254e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165191e-02 1.83863713e-01 8.24418353e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.48           	p               	-7.94022079e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459666e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.48           	U               	(-1.18957480e-01 -4.84413780e-01 -9.34060254e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165194e-02 1.83863713e-01 8.24418353e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.49           	p               	-7.94022079e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459666e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.49           	U               	(-1.18957481e-01 -4.84413781e-01 -9.34060254e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165196e-02 1.83863713e-01 8.24418353e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.5            	p               	-7.94022079e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459666e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.5            	U               	(-1.18957481e-01 -4.84413781e-01 -9.34060254e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165199e-02 1.83863712e-01 8.24418353e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.51           	p               	-7.94022079e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459666e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.51           	U               	(-1.18957481e-01 -4.84413781e-01 -9.34060254e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165201e-02 1.83863712e-01 8.24418353e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.52           	p               	-7.94022079e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459666e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.52           	U               	(-1.18957482e-01 -4.84413781e-01 -9.34060254e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165203e-02 1.83863712e-01 8.24418353e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.53           	p               	-7.94022088e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459665e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.53           	U               	(-1.18957481e-01 -4.84413781e-01 -9.34059878e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165204e-02 1.83863712e-01 8.24418389e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.54           	p               	-7.94022093e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459665e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.54           	U               	(-1.18957481e-01 -4.84413781e-01 -9.34059708e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165201e-02 1.83863713e-01 8.24418411e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.55           	p               	-7.94022093e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459665e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
31.55           	U               	(-1.18957480e-01 -4.84413781e-01 -9.34059708e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50165198e-02 1.83863713e-01 8.24418411e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
31.56           	p               	-7.94022093e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38459665e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
