"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.010553,3.2229,-5.0861e-21,1.0016,1,9.0455,23.048,-27.6,0
-0.010398,3.2247,-7.0723e-21,0.99542,1,9.1146,23.056,-27.532,0
-0.0099947,3.2265,-1.0395e-20,0.989,1,9.1836,23.064,-27.463,0
-0.0095944,3.2283,-1.3253e-20,0.98255,1,9.2527,23.072,-27.395,0
-0.0091967,3.2301,-1.5647e-20,0.97606,1,9.3217,23.08,-27.326,0
-0.0088019,3.2319,-1.7579e-20,0.96955,1,9.3908,23.088,-27.257,0
-0.00841,3.2337,-1.9047e-20,0.963,1,9.4598,23.096,-27.189,0
-0.0080208,3.2355,-2.0054e-20,0.95643,1,9.5289,23.104,-27.12,0
-0.0076345,3.2373,-2.0599e-20,0.94982,1,9.5979,23.112,-27.052,0
-0.007251,3.2391,-2.0683e-20,0.94318,1,9.667,23.12,-26.983,0
-0.0068702,3.2409,-2.0307e-20,0.93651,1,9.736,23.128,-26.915,0
-0.0064922,3.2427,-1.9472e-20,0.92981,1,9.8051,23.136,-26.846,0
-0.0061171,3.2445,-1.8177e-20,0.92308,1,9.8741,23.144,-26.777,0
-0.0057447,3.2464,-1.6423e-20,0.91631,1,9.9432,23.152,-26.709,0
-0.0053751,3.2482,-1.4212e-20,0.90952,1,10.012,23.16,-26.64,0
-0.0049931,3.25,-1.1766e-20,0.90267,1,10.081,23.168,-26.572,0
-0.0042979,3.2522,-1.3796e-20,0.89519,1,10.15,23.176,-26.503,0
-0.0036088,3.2543,-1.5958e-20,0.88766,1,10.219,23.184,-26.434,0
-0.0029257,3.2565,-1.8251e-20,0.8801,1,10.288,23.192,-26.366,0
-0.0022486,3.2587,-2.0675e-20,0.87248,1,10.357,23.2,-26.297,0
-0.0015775,3.2609,-2.3231e-20,0.86482,1,10.427,23.208,-26.229,0
-0.00091238,3.2631,-2.5918e-20,0.85712,1,10.496,23.216,-26.16,0
-0.00025333,3.2653,-2.8735e-20,0.84937,1,10.565,23.224,-26.091,0
0.00039985,3.2675,-3.1684e-20,0.84157,1,10.634,23.232,-26.023,0
0.001047,3.2697,-3.4763e-20,0.83373,1,10.703,23.24,-25.954,0
0.0016882,3.272,-3.7972e-20,0.82584,1,10.772,23.248,-25.886,0
0.0023234,3.2742,-4.1311e-20,0.81791,1,10.841,23.256,-25.817,0
0.0029528,3.2764,-4.4781e-20,0.80994,1,10.91,23.264,-25.749,0
0.0035761,3.2787,-4.838e-20,0.80192,1,10.979,23.272,-25.68,0
0.0041935,3.2809,-5.2109e-20,0.79385,1,11.048,23.28,-25.611,0
0.0051923,3.2833,-5.0462e-20,0.78504,1,11.117,23.288,-25.543,0
0.0064774,3.2858,-4.4902e-20,0.77564,1,11.186,23.296,-25.474,0
0.0077566,3.2882,-3.9613e-20,0.76617,1,11.255,23.304,-25.406,0
0.00903,3.2907,-3.4596e-20,0.75664,1,11.324,23.312,-25.337,0
0.010298,3.2932,-2.9849e-20,0.74705,1,11.393,23.32,-25.268,0
0.011559,3.2957,-2.5374e-20,0.73739,1,11.462,23.328,-25.2,0
0.012815,3.2982,-2.1169e-20,0.72768,1,11.531,23.336,-25.131,0
0.014065,3.3008,-1.7234e-20,0.71789,1,11.6,23.344,-25.063,0
0.01531,3.3033,-1.3569e-20,0.70805,1,11.669,23.352,-24.994,0
0.016548,3.3059,-1.0174e-20,0.69814,1,11.738,23.36,-24.926,0
0.017781,3.3084,-7.0472e-21,0.68817,1,11.808,23.368,-24.857,0
0.019008,3.311,-4.1893e-21,0.67814,1,11.877,23.376,-24.788,0
0.020229,3.3136,-1.6001e-21,0.66804,1,11.946,23.384,-24.72,0
0.021444,3.3162,7.2128e-22,0.65788,1,12.015,23.392,-24.651,0
0.022657,3.3188,2.7657e-21,0.64766,1,12.084,23.4,-24.583,0
0.024396,3.3202,6.1082e-21,0.63606,1,12.153,23.408,-24.514,0
0.026174,3.3218,9.8609e-21,0.62413,1,12.222,23.416,-24.445,0
0.027968,3.3235,1.3615e-20,0.61217,1,12.291,23.424,-24.377,0
0.029777,3.3253,1.7369e-20,0.60017,1,12.36,23.432,-24.308,0
0.031603,3.3271,2.1124e-20,0.58814,1,12.429,23.44,-24.24,0
0.033444,3.3289,2.4881e-20,0.57609,1,12.498,23.448,-24.171,0
0.035301,3.3308,2.8638e-20,0.56399,1,12.567,23.456,-24.103,0
0.037173,3.3328,3.2396e-20,0.55187,1,12.636,23.464,-24.034,0
0.039062,3.3348,3.6155e-20,0.53971,1,12.705,23.472,-23.965,0
0.040966,3.3369,3.9916e-20,0.52752,1,12.774,23.48,-23.897,0
0.042885,3.339,4.3676e-20,0.5153,1,12.843,23.488,-23.828,0
0.044821,3.3411,4.7438e-20,0.50304,1,12.912,23.496,-23.76,0
0.046772,3.3433,5.1202e-20,0.49076,1,12.981,23.504,-23.691,0
0.048738,3.3456,5.4966e-20,0.47844,1,13.05,23.512,-23.622,0
0.05072,3.3479,5.873e-20,0.46609,1,13.119,23.52,-23.554,0
0.054728,3.3501,5.6328e-20,0.44946,1,13.189,23.528,-23.485,0
0.059248,3.3521,5.3012e-20,0.43176,1,13.258,23.536,-23.417,0
0.063884,3.3542,5.0057e-20,0.41383,1,13.327,23.544,-23.348,0
0.068636,3.3562,4.7462e-20,0.39567,1,13.396,23.552,-23.28,0
0.073503,3.3583,4.5228e-20,0.37728,1,13.465,23.56,-23.211,0
0.078485,3.3603,4.3354e-20,0.35866,1,13.534,23.568,-23.142,0
0.083583,3.3623,4.184e-20,0.33981,1,13.603,23.576,-23.074,0
0.088795,3.3643,4.0684e-20,0.32073,1,13.672,23.584,-23.005,0
0.094123,3.3662,3.9887e-20,0.30142,1,13.741,23.592,-22.937,0
0.099565,3.3682,3.9449e-20,0.28188,1,13.81,23.6,-22.868,0
0.10512,3.3701,3.9368e-20,0.26211,1,13.879,23.608,-22.799,0
0.11079,3.372,3.9645e-20,0.24212,1,13.948,23.616,-22.731,0
0.11658,3.3739,4.0279e-20,0.22189,1,14.017,23.624,-22.662,0
0.12248,3.3758,4.127e-20,0.20144,1,14.086,23.632,-22.594,0
0.12849,3.3777,4.2617e-20,0.18076,1,14.155,23.64,-22.525,0
0.1349,3.3809,4.1914e-20,0.15777,1,14.224,23.648,-22.456,0
0.1416,3.3855,3.9166e-20,0.13267,1,14.293,23.656,-22.388,0
0.14831,3.3902,3.6324e-20,0.10719,1,14.362,23.664,-22.319,0
0.15503,3.395,3.3389e-20,0.081329,1,14.431,23.672,-22.251,0
0.16178,3.3999,3.0358e-20,0.055089,1,14.5,23.68,-22.182,0
0.16854,3.405,2.7234e-20,0.02847,1,14.57,23.688,-22.114,0
0.17532,3.4102,2.4016e-20,0.001471,1,14.639,23.696,-22.045,0
0.18212,3.4156,2.0705e-20,-0.025906,1,14.708,23.704,-21.976,0
0.18893,3.4211,1.7299e-20,-0.05366,1,14.777,23.712,-21.908,0
0.19576,3.4267,1.3801e-20,-0.081791,1,14.846,23.72,-21.839,0
0.20261,3.4324,1.0208e-20,-0.1103,1,14.915,23.728,-21.771,0
0.20948,3.4383,6.5228e-21,-0.13919,1,14.984,23.736,-21.702,0
0.21636,3.4443,2.7439e-21,-0.16845,1,15.053,23.744,-21.633,0
0.22326,3.4504,-1.1279e-21,-0.19808,1,15.122,23.752,-21.565,0
0.23018,3.4567,-5.0928e-21,-0.2281,1,15.191,23.76,-21.496,0
0.23712,3.4631,-9.1506e-21,-0.25848,1,15.26,23.768,-21.428,0
0.24597,3.4665,-1.289e-20,-0.31483,1,15.329,23.776,-21.359,0
0.2469,3.4409,1.1886e-21,-0.39182,1,15.398,23.784,-21.291,0
0.25092,3.4268,1.0428e-20,-0.46745,1,15.467,23.792,-21.222,0
0.25805,3.4243,1.4809e-20,-0.54172,1,15.536,23.8,-21.153,0
0.26829,3.4334,1.4311e-20,-0.61461,1,15.605,23.808,-21.085,0
0.28166,3.4541,8.9112e-21,-0.68613,1,15.674,23.816,-21.016,0
0.29817,3.4865,-1.4102e-21,-0.75626,1,15.743,23.824,-20.948,0
0.31697,3.5216,-1.5602e-20,-0.81725,1,15.812,23.832,-20.879,0
0.33316,3.5165,-3.0722e-20,-0.83528,1,15.881,23.84,-20.81,0
0.35031,3.5129,-5.3278e-20,-0.8484,1,15.951,23.848,-20.742,0
0.37281,3.4982,-8.2812e-20,-0.85462,1,16.02,23.856,-20.673,0
0.40214,3.4696,-1.2061e-19,-0.85078,1,16.089,23.864,-20.605,0
0.43232,3.445,-1.6795e-19,-0.83858,1,16.158,23.872,-20.536,0
0.46335,3.4245,-2.2486e-19,-0.81799,1,16.227,23.88,-20.468,0
0.49522,3.408,-2.9138e-19,-0.78897,1,16.296,23.888,-20.399,0
0.52795,3.3956,-3.6756e-19,-0.75149,1,16.365,23.896,-20.33,0
0.56154,3.3872,-4.5343e-19,-0.70552,1,16.434,23.904,-20.262,0
0.58742,3.3754,-4.8064e-19,-0.67385,1,16.503,23.912,-20.193,0
0.60685,3.3618,-4.6054e-19,-0.65471,1,16.572,23.92,-20.125,0
0.62494,3.3511,-4.3433e-19,-0.63482,1,16.641,23.928,-20.056,0
0.63499,3.322,-3.7164e-19,-0.58687,1,16.71,23.936,-19.987,0
0.64435,3.2953,-3.0658e-19,-0.53837,1,16.779,23.944,-19.919,0
0.65421,3.275,-2.4465e-19,-0.49403,1,16.848,23.952,-19.85,0
0.66457,3.2608,-1.8585e-19,-0.45386,1,16.917,23.96,-19.782,0
0.67544,3.253,-1.3021e-19,-0.41788,1,16.986,23.968,-19.713,0
0.68681,3.2514,-7.7721e-20,-0.38611,1,17.055,23.976,-19.645,0
0.6987,3.2562,-2.8406e-20,-0.35856,1,17.124,23.984,-19.576,0
0.7111,3.2673,1.7724e-20,-0.33525,1,17.193,23.992,-19.507,0
0.72401,3.2847,6.0663e-20,-0.31619,1,17.262,24,-19.439,0
0.72123,3.2709,6.3149e-20,-0.30068,1,17.332,24.008,-19.37,0
0.71677,3.253,5.7614e-20,-0.28668,1,17.401,24.016,-19.302,0
0.71343,3.238,5.213e-20,-0.27381,1,17.47,24.024,-19.233,0
0.71122,3.226,4.6698e-20,-0.26208,1,17.539,24.032,-19.164,0
0.71014,3.217,4.1319e-20,-0.25149,1,17.608,24.04,-19.096,0
0.71019,3.2111,3.5992e-20,-0.24205,1,17.677,24.048,-19.027,0
0.71138,3.2082,3.0717e-20,-0.23375,1,17.746,24.056,-18.959,0
0.71371,3.2083,2.5495e-20,-0.2266,1,17.815,24.064,-18.89,0
0.71719,3.2115,2.0326e-20,-0.2206,1,17.884,24.072,-18.821,0
0.71957,3.2136,1.3736e-20,-0.21459,1,17.953,24.08,-18.753,0
0.72021,3.214,4.9758e-21,-0.20758,1,18.022,24.088,-18.684,0
0.72212,3.2183,-4.1202e-21,-0.20088,1,18.091,24.096,-18.616,0
0.72529,3.2265,-1.3553e-20,-0.19449,1,18.16,24.104,-18.547,0
0.72974,3.2388,-2.3325e-20,-0.18841,1,18.229,24.112,-18.479,0
0.7353,3.2543,-3.3292e-20,-0.18253,1,18.298,24.12,-18.41,0
0.73625,3.2454,-3.765e-20,-0.17275,1,18.367,24.128,-18.341,0
0.73772,3.2378,-4.0584e-20,-0.16338,1,18.436,24.136,-18.273,0
0.73972,3.2315,-4.2091e-20,-0.15441,1,18.505,24.144,-18.204,0
0.74223,3.2265,-4.2164e-20,-0.14583,1,18.574,24.152,-18.136,0
0.74357,3.2182,-3.5551e-20,-0.13745,1,18.643,24.16,-18.067,0
0.74418,3.2082,-2.4954e-20,-0.12922,1,18.713,24.168,-17.998,0
0.74542,3.2001,-1.4974e-20,-0.1213,1,18.782,24.176,-17.93,0
0.74729,3.194,-5.6114e-21,-0.11369,1,18.851,24.184,-17.861,0
0.74979,3.1899,3.131e-21,-0.10638,1,18.92,24.192,-17.793,0
0.75293,3.1878,1.1251e-20,-0.099378,1,18.989,24.2,-17.724,0
0.75671,3.1877,1.8746e-20,-0.092686,1,19.058,24.208,-17.656,0
0.76112,3.1896,2.5615e-20,-0.086305,1,19.127,24.216,-17.587,0
0.76618,3.1934,3.1855e-20,-0.080234,1,19.196,24.224,-17.518,0
0.77188,3.1994,3.7464e-20,-0.074476,1,19.265,24.232,-17.45,0
0.77766,3.2059,4.1705e-20,-0.069111,1,19.334,24.24,-17.381,0
0.7822,3.2102,4.2796e-20,-0.064314,1,19.403,24.248,-17.313,0
0.78748,3.217,4.3201e-20,-0.059803,1,19.472,24.256,-17.244,0
0.79349,3.2262,4.2919e-20,-0.055579,1,19.541,24.264,-17.175,0
0.79819,3.2315,4.1029e-20,-0.051199,1,19.61,24.272,-17.107,0
0.79859,3.2232,3.7244e-20,-0.046089,1,19.679,24.28,-17.038,0
0.7993,3.2158,3.4158e-20,-0.041266,1,19.748,24.288,-16.97,0
0.80033,3.2094,3.1773e-20,-0.036731,1,19.817,24.296,-16.901,0
0.80168,3.2039,3.0092e-20,-0.032486,1,19.886,24.304,-16.833,0
0.80334,3.1992,2.9117e-20,-0.028532,1,19.955,24.312,-16.764,0
0.80533,3.1955,2.8851e-20,-0.024869,1,20.024,24.32,-16.695,0
0.80688,3.1911,2.9035e-20,-0.021784,1,20.094,24.328,-16.627,0
0.80778,3.1855,2.8973e-20,-0.019325,1,20.163,24.336,-16.558,0
0.80905,3.181,2.8773e-20,-0.01708,1,20.232,24.344,-16.49,0
0.8107,3.1775,2.8434e-20,-0.015049,1,20.301,24.352,-16.421,0
0.81272,3.1751,2.7956e-20,-0.013234,1,20.37,24.36,-16.352,0
0.81513,3.1738,2.734e-20,-0.011634,1,20.439,24.368,-16.284,0
0.81791,3.1736,2.6583e-20,-0.010251,1,20.508,24.376,-16.215,0
0.82107,3.1744,2.5687e-20,-0.0090854,1,20.577,24.384,-16.147,0
0.82462,3.1764,2.465e-20,-0.0081376,1,20.646,24.392,-16.078,0
0.82855,3.1794,2.3472e-20,-0.0074086,1,20.715,24.4,-16.01,0
0.83286,3.1835,2.2152e-20,-0.0068993,1,20.784,24.408,-15.941,0
0.83735,3.1883,2.0492e-20,-0.0065588,1,20.853,24.416,-15.872,0
0.84083,3.1914,1.7382e-20,-0.006037,1,20.922,24.424,-15.804,0
0.84472,3.1958,1.4265e-20,-0.0056521,1,20.991,24.432,-15.735,0
0.84904,3.2013,1.1142e-20,-0.0054049,1,21.06,24.44,-15.667,0
0.85377,3.2081,8.0129e-21,-0.0052952,1,21.129,24.448,-15.598,0
0.85892,3.2161,4.8769e-21,-0.0053238,1,21.198,24.456,-15.529,0
0.8645,3.2253,1.7345e-21,-0.0054914,1,21.267,24.464,-15.461,0
0.86507,3.2194,-5.7351e-22,-0.005454,1,21.336,24.472,-15.392,0
0.86523,3.2125,-2.4466e-21,-0.0054354,1,21.405,24.48,-15.324,0
0.86554,3.2062,-3.955e-21,-0.0054683,1,21.475,24.488,-15.255,0
0.86601,3.2005,-5.0975e-21,-0.0055522,1,21.544,24.496,-15.186,0
0.86663,3.1954,-5.8729e-21,-0.0056877,1,21.613,24.504,-15.118,0
0.8671,3.1903,-5.5158e-21,-0.0056368,1,21.682,24.512,-15.049,0
0.86707,3.1844,-3.345e-21,-0.0051473,1,21.751,24.52,-14.981,0
0.8672,3.179,-1.1288e-21,-0.0047481,1,21.82,24.528,-14.912,0
0.8675,3.1742,1.1329e-21,-0.0044399,1,21.889,24.536,-14.844,0
0.86796,3.1699,3.4402e-21,-0.0042232,1,21.958,24.544,-14.775,0
0.86858,3.1662,5.7933e-21,-0.0040976,1,22.027,24.552,-14.706,0
0.86937,3.163,8.1923e-21,-0.0040638,1,22.096,24.56,-14.638,0
0.87033,3.1603,1.0637e-20,-0.0041222,1,22.165,24.568,-14.569,0
0.87145,3.1582,1.3128e-20,-0.0042727,1,22.234,24.576,-14.501,0
0.87274,3.1567,1.5666e-20,-0.0045157,1,22.303,24.584,-14.432,0
0.8742,3.1557,1.825e-20,-0.0048515,1,22.372,24.592,-14.363,0
0.87582,3.1553,2.088e-20,-0.0052807,1,22.441,24.6,-14.295,0
0.87762,3.1554,2.3558e-20,-0.0058031,1,22.51,24.608,-14.226,0
0.87853,3.154,2.1735e-20,-0.0059841,1,22.579,24.616,-14.158,0
0.87958,3.1532,1.964e-20,-0.0062524,1,22.648,24.624,-14.089,0
0.88083,3.1528,1.741e-20,-0.0066212,1,22.717,24.632,-14.021,0
0.88225,3.153,1.5042e-20,-0.007091,1,22.786,24.64,-13.952,0
0.88386,3.1538,1.2536e-20,-0.0076624,1,22.856,24.648,-13.883,0
